Solving vm1084
[0s]  C: construct_random_replicate -----> [0s]  Current: [fitness: 4294967295  updated: 1  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  MH: ILS                       
[0s]  	LS: cyclicVND                
[129s]  		O: rrelocate_3              -----> [140s]  Current: [fitness: 8238865  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8275456  last updated: 129s  feasible: 1  size: 1084]
[140s]  		O: rrelocate_4              -----> [152s]  Current: [fitness: 8203348  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8238865  last updated: 140s  feasible: 1  size: 1084]
[152s]  		O: move_all_1               -----> [152s]  Current: [fitness: 8177894  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8203348  last updated: 152s  feasible: 1  size: 1084]
[152s]  		O: move_all_2               -----> [152s]  Current: [fitness: 8152439  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8177894  last updated: 152s  feasible: 1  size: 1084]
[152s]  		O: insert1                  -----> [152s]  Current: [fitness: 8152439  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 8152439  last updated: 152s  feasible: 1  size: 1084]
[152s]  		O: remove1                  -----> [152s]  Current: [fitness: 8152439  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 8152439  last updated: 152s  feasible: 1  size: 1084]
[152s]  		O: two_opt                  -----> [159s]  Current: [fitness: 8119011  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8152439  last updated: 152s  feasible: 1  size: 1084]
[159s]  		O: exchange_ids             -----> [166s]  Current: [fitness: 8064705  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8119011  last updated: 159s  feasible: 1  size: 1084]
[166s]  		O: exchange_1_2             -----> [178s]  Current: [fitness: 8011209  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8064705  last updated: 166s  feasible: 1  size: 1084]
[178s]  		O: exchange_2_2             -----> [189s]  Current: [fitness: 7963989  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8011209  last updated: 178s  feasible: 1  size: 1084]
[189s]  		O: exchange_3_3             -----> [201s]  Current: [fitness: 7915130  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7963989  last updated: 189s  feasible: 1  size: 1084]
[201s]  		O: exchange_3_4             -----> [213s]  Current: [fitness: 7860813  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7915130  last updated: 201s  feasible: 1  size: 1084]
[213s]  		O: exchange_4_4             -----> [225s]  Current: [fitness: 7812515  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7860813  last updated: 213s  feasible: 1  size: 1084]
[225s]  		O: rexchange_2_2            -----> [236s]  Current: [fitness: 7765751  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7812515  last updated: 225s  feasible: 1  size: 1084]
[236s]  		O: rexchange_2_3            -----> [248s]  Current: [fitness: 7717422  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7765751  last updated: 236s  feasible: 1  size: 1084]
[248s]  		O: rexchange_4_4            -----> [260s]  Current: [fitness: 7671435  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7717422  last updated: 248s  feasible: 1  size: 1084]
[260s]  		O: centered_exchange_1      -----> [260s]  Current: [fitness: 7651063  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7671435  last updated: 260s  feasible: 1  size: 1084]
[260s]  		O: relocate_1               -----> [272s]  Current: [fitness: 7623528  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7651063  last updated: 260s  feasible: 1  size: 1084]
[272s]  		O: relocate_5               -----> [284s]  Current: [fitness: 7590918  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7623528  last updated: 272s  feasible: 1  size: 1084]
[284s]  		O: rrelocate_3              -----> [296s]  Current: [fitness: 7556303  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7590918  last updated: 284s  feasible: 1  size: 1084]
[296s]  		O: rrelocate_4              -----> [307s]  Current: [fitness: 7521956  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7556303  last updated: 296s  feasible: 1  size: 1084]
[307s]  		O: move_all_1               -----> [307s]  Current: [fitness: 7501889  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7521956  last updated: 307s  feasible: 1  size: 1084]
[307s]  		O: move_all_2               -----> [307s]  Current: [fitness: 7478984  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7501889  last updated: 307s  feasible: 1  size: 1084]
[307s]  		O: insert1                  -----> [307s]  Current: [fitness: 7478984  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 7478984  last updated: 307s  feasible: 1  size: 1084]
[307s]  		O: remove1                  -----> [307s]  Current: [fitness: 7478984  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 7478984  last updated: 307s  feasible: 1  size: 1084]
[307s]  		O: two_opt                  -----> [314s]  Current: [fitness: 7449672  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7478984  last updated: 307s  feasible: 1  size: 1084]
[314s]  		O: exchange_ids             -----> [321s]  Current: [fitness: 7400748  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7449672  last updated: 314s  feasible: 1  size: 1084]
[321s]  		O: exchange_1_2             -----> [333s]  Current: [fitness: 7351798  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7400748  last updated: 321s  feasible: 1  size: 1084]
[333s]  		O: exchange_2_2             -----> [344s]  Current: [fitness: 7306828  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7351798  last updated: 333s  feasible: 1  size: 1084]
[344s]  		O: exchange_3_3             -----> [356s]  Current: [fitness: 7267205  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7306828  last updated: 344s  feasible: 1  size: 1084]
[356s]  		O: exchange_3_4             -----> [368s]  Current: [fitness: 7223534  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7267205  last updated: 356s  feasible: 1  size: 1084]
[368s]  		O: exchange_4_4             -----> [380s]  Current: [fitness: 7180611  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7223534  last updated: 368s  feasible: 1  size: 1084]
[380s]  		O: rexchange_2_2            -----> [392s]  Current: [fitness: 7139040  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7180611  last updated: 380s  feasible: 1  size: 1084]
[392s]  		O: rexchange_2_3            -----> [403s]  Current: [fitness: 7098191  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7139040  last updated: 392s  feasible: 1  size: 1084]
[403s]  		O: rexchange_4_4            -----> [415s]  Current: [fitness: 7057708  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7098191  last updated: 403s  feasible: 1  size: 1084]
[415s]  		O: centered_exchange_1      -----> [415s]  Current: [fitness: 7039195  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7057708  last updated: 415s  feasible: 1  size: 1084]
[415s]  		O: relocate_1               -----> [427s]  Current: [fitness: 7012372  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7039195  last updated: 415s  feasible: 1  size: 1084]
[427s]  		O: relocate_5               -----> [439s]  Current: [fitness: 6980549  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7012372  last updated: 427s  feasible: 1  size: 1084]
[439s]  		O: rrelocate_3              -----> [451s]  Current: [fitness: 6945534  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6980549  last updated: 439s  feasible: 1  size: 1084]
[451s]  		O: rrelocate_4              -----> [462s]  Current: [fitness: 6914706  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6945534  last updated: 451s  feasible: 1  size: 1084]
[462s]  		O: move_all_1               -----> [462s]  Current: [fitness: 6895379  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6914706  last updated: 462s  feasible: 1  size: 1084]
[462s]  		O: move_all_2               -----> [462s]  Current: [fitness: 6872677  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6895379  last updated: 462s  feasible: 1  size: 1084]
[462s]  		O: insert1                  -----> [462s]  Current: [fitness: 6872677  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6872677  last updated: 462s  feasible: 1  size: 1084]
[462s]  		O: remove1                  -----> [462s]  Current: [fitness: 6872677  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6872677  last updated: 462s  feasible: 1  size: 1084]
[462s]  		O: two_opt                  -----> [470s]  Current: [fitness: 6844790  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6872677  last updated: 462s  feasible: 1  size: 1084]
[470s]  		O: exchange_ids             -----> [477s]  Current: [fitness: 6802438  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6844790  last updated: 470s  feasible: 1  size: 1084]
[477s]  		O: exchange_1_2             -----> [489s]  Current: [fitness: 6760594  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6802438  last updated: 477s  feasible: 1  size: 1084]
[489s]  		O: exchange_2_2             -----> [500s]  Current: [fitness: 6721118  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6760594  last updated: 489s  feasible: 1  size: 1084]
[500s]  		O: exchange_3_3             -----> [512s]  Current: [fitness: 6681669  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6721118  last updated: 500s  feasible: 1  size: 1084]
[512s]  		O: exchange_3_4             -----> [524s]  Current: [fitness: 6641757  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6681669  last updated: 512s  feasible: 1  size: 1084]
[524s]  		O: exchange_4_4             -----> [535s]  Current: [fitness: 6599042  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6641757  last updated: 524s  feasible: 1  size: 1084]
[535s]  		O: rexchange_2_2            -----> [547s]  Current: [fitness: 6555308  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6599042  last updated: 535s  feasible: 1  size: 1084]
[547s]  		O: rexchange_2_3            -----> [559s]  Current: [fitness: 6517642  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6555308  last updated: 547s  feasible: 1  size: 1084]
[559s]  		O: rexchange_4_4            -----> [571s]  Current: [fitness: 6478164  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6517642  last updated: 559s  feasible: 1  size: 1084]
[571s]  		O: centered_exchange_1      -----> [571s]  Current: [fitness: 6463940  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6478164  last updated: 571s  feasible: 1  size: 1084]
[571s]  		O: relocate_1               -----> [582s]  Current: [fitness: 6439427  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6463940  last updated: 571s  feasible: 1  size: 1084]
[582s]  		O: relocate_5               -----> [594s]  Current: [fitness: 6408311  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6439427  last updated: 582s  feasible: 1  size: 1084]
[594s]  		O: rrelocate_3              -----> [606s]  Current: [fitness: 6379735  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6408311  last updated: 594s  feasible: 1  size: 1084]
[606s]  		O: rrelocate_4              -----> [618s]  Current: [fitness: 6350086  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6379735  last updated: 606s  feasible: 1  size: 1084]
[618s]  		O: move_all_1               -----> [618s]  Current: [fitness: 6331471  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6350086  last updated: 618s  feasible: 1  size: 1084]
[618s]  		O: move_all_2               -----> [618s]  Current: [fitness: 6314170  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6331471  last updated: 618s  feasible: 1  size: 1084]
[618s]  		O: insert1                  -----> [618s]  Current: [fitness: 6314170  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6314170  last updated: 618s  feasible: 1  size: 1084]
[618s]  		O: remove1                  -----> [618s]  Current: [fitness: 6314170  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6314170  last updated: 618s  feasible: 1  size: 1084]
[618s]  		O: two_opt                  -----> [625s]  Current: [fitness: 6288470  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6314170  last updated: 618s  feasible: 1  size: 1084]
[625s]  		O: exchange_ids             -----> [632s]  Current: [fitness: 6250226  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6288470  last updated: 625s  feasible: 1  size: 1084]
[632s]  		O: exchange_1_2             -----> [644s]  Current: [fitness: 6213525  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6250226  last updated: 632s  feasible: 1  size: 1084]
[644s]  		O: exchange_2_2             -----> [656s]  Current: [fitness: 6177570  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6213525  last updated: 644s  feasible: 1  size: 1084]
[656s]  		O: exchange_3_3             -----> [667s]  Current: [fitness: 6141958  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6177570  last updated: 656s  feasible: 1  size: 1084]
[667s]  		O: exchange_3_4             -----> [679s]  Current: [fitness: 6105691  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6141958  last updated: 667s  feasible: 1  size: 1084]
[679s]  		O: exchange_4_4             -----> [691s]  Current: [fitness: 6069870  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6105691  last updated: 679s  feasible: 1  size: 1084]
[691s]  		O: rexchange_2_2            -----> [703s]  Current: [fitness: 6036417  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6069870  last updated: 691s  feasible: 1  size: 1084]
[703s]  		O: rexchange_2_3            -----> [714s]  Current: [fitness: 6002309  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6036417  last updated: 703s  feasible: 1  size: 1084]
[714s]  		O: rexchange_4_4            -----> [726s]  Current: [fitness: 5966418  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6002309  last updated: 714s  feasible: 1  size: 1084]
[726s]  		O: centered_exchange_1      -----> [726s]  Current: [fitness: 5952218  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5966418  last updated: 726s  feasible: 1  size: 1084]
[726s]  		O: relocate_1               -----> [738s]  Current: [fitness: 5931148  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5952218  last updated: 726s  feasible: 1  size: 1084]
[738s]  		O: relocate_5               -----> [750s]  Current: [fitness: 5902668  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5931148  last updated: 738s  feasible: 1  size: 1084]
[750s]  		O: rrelocate_3              -----> [762s]  Current: [fitness: 5874231  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5902668  last updated: 750s  feasible: 1  size: 1084]
[762s]  		O: rrelocate_4              -----> [774s]  Current: [fitness: 5846643  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5874231  last updated: 762s  feasible: 1  size: 1084]
[774s]  		O: move_all_1               -----> [774s]  Current: [fitness: 5830295  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5846643  last updated: 774s  feasible: 1  size: 1084]
[774s]  		O: move_all_2               -----> [774s]  Current: [fitness: 5813764  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5830295  last updated: 774s  feasible: 1  size: 1084]
[774s]  		O: insert1                  -----> [774s]  Current: [fitness: 5813764  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5813764  last updated: 774s  feasible: 1  size: 1084]
[774s]  		O: remove1                  -----> [774s]  Current: [fitness: 5813764  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5813764  last updated: 774s  feasible: 1  size: 1084]
[774s]  		O: two_opt                  -----> [780s]  Current: [fitness: 5788160  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5813764  last updated: 774s  feasible: 1  size: 1084]
[780s]  		O: exchange_ids             -----> [788s]  Current: [fitness: 5752487  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5788160  last updated: 780s  feasible: 1  size: 1084]
[788s]  		O: exchange_1_2             -----> [800s]  Current: [fitness: 5718144  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5752487  last updated: 788s  feasible: 1  size: 1084]
[800s]  		O: exchange_2_2             -----> [811s]  Current: [fitness: 5684691  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5718144  last updated: 800s  feasible: 1  size: 1084]
[811s]  		O: exchange_3_3             -----> [823s]  Current: [fitness: 5653114  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5684691  last updated: 811s  feasible: 1  size: 1084]
[823s]  		O: exchange_3_4             -----> [835s]  Current: [fitness: 5619754  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5653114  last updated: 823s  feasible: 1  size: 1084]
[835s]  		O: exchange_4_4             -----> [846s]  Current: [fitness: 5587232  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5619754  last updated: 835s  feasible: 1  size: 1084]
[846s]  		O: rexchange_2_2            -----> [858s]  Current: [fitness: 5556142  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5587232  last updated: 846s  feasible: 1  size: 1084]
[858s]  		O: rexchange_2_3            -----> [869s]  Current: [fitness: 5523878  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5556142  last updated: 858s  feasible: 1  size: 1084]
[869s]  		O: rexchange_4_4            -----> [881s]  Current: [fitness: 5489802  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5523878  last updated: 869s  feasible: 1  size: 1084]
[881s]  		O: centered_exchange_1      -----> [881s]  Current: [fitness: 5475730  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5489802  last updated: 881s  feasible: 1  size: 1084]
[881s]  		O: relocate_1               -----> [893s]  Current: [fitness: 5456621  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5475730  last updated: 881s  feasible: 1  size: 1084]
[893s]  		O: relocate_5               -----> [905s]  Current: [fitness: 5428606  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5456621  last updated: 893s  feasible: 1  size: 1084]
[905s]  		O: rrelocate_3              -----> [916s]  Current: [fitness: 5400576  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5428606  last updated: 905s  feasible: 1  size: 1084]
[916s]  		O: rrelocate_4              -----> [928s]  Current: [fitness: 5373083  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5400576  last updated: 916s  feasible: 1  size: 1084]
[928s]  		O: move_all_1               -----> [928s]  Current: [fitness: 5358817  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5373083  last updated: 928s  feasible: 1  size: 1084]
[928s]  		O: move_all_2               -----> [928s]  Current: [fitness: 5343125  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5358817  last updated: 928s  feasible: 1  size: 1084]
[928s]  		O: insert1                  -----> [928s]  Current: [fitness: 5343125  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5343125  last updated: 928s  feasible: 1  size: 1084]
[928s]  		O: remove1                  -----> [928s]  Current: [fitness: 5343125  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5343125  last updated: 928s  feasible: 1  size: 1084]
[928s]  		O: two_opt                  -----> [935s]  Current: [fitness: 5320069  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5343125  last updated: 928s  feasible: 1  size: 1084]
[935s]  		O: exchange_ids             -----> [942s]  Current: [fitness: 5285860  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5320069  last updated: 935s  feasible: 1  size: 1084]
[942s]  		O: exchange_1_2             -----> [953s]  Current: [fitness: 5254247  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5285860  last updated: 942s  feasible: 1  size: 1084]
[953s]  		O: exchange_2_2             -----> [965s]  Current: [fitness: 5220989  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5254247  last updated: 953s  feasible: 1  size: 1084]
[965s]  		O: exchange_3_3             -----> [977s]  Current: [fitness: 5191772  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5220989  last updated: 965s  feasible: 1  size: 1084]
[977s]  		O: exchange_3_4             -----> [989s]  Current: [fitness: 5158539  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5191772  last updated: 977s  feasible: 1  size: 1084]
[989s]  		O: exchange_4_4             -----> [1000s]  Current: [fitness: 5128794  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5158539  last updated: 989s  feasible: 1  size: 1084]
[1000s]  		O: rexchange_2_2            -----> [1012s]  Current: [fitness: 5099629  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5128794  last updated: 1000s  feasible: 1  size: 1084]
[1012s]  		O: rexchange_2_3            -----> [1024s]  Current: [fitness: 5068747  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5099629  last updated: 1012s  feasible: 1  size: 1084]
[1024s]  		O: rexchange_4_4            -----> [1035s]  Current: [fitness: 5039681  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5068747  last updated: 1024s  feasible: 1  size: 1084]
[1035s]  		O: centered_exchange_1      -----> [1035s]  Current: [fitness: 5026431  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5039681  last updated: 1035s  feasible: 1  size: 1084]
[1035s]  		O: relocate_1               -----> [1047s]  Current: [fitness: 5009295  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5026431  last updated: 1035s  feasible: 1  size: 1084]
[1047s]  		O: relocate_5               -----> [1059s]  Current: [fitness: 4981294  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5009295  last updated: 1047s  feasible: 1  size: 1084]
[1059s]  		O: rrelocate_3              -----> [1071s]  Current: [fitness: 4955746  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4981294  last updated: 1059s  feasible: 1  size: 1084]
[1071s]  		O: rrelocate_4              -----> [1083s]  Current: [fitness: 4930750  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4955746  last updated: 1071s  feasible: 1  size: 1084]
[1083s]  		O: move_all_1               -----> [1083s]  Current: [fitness: 4920421  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4930750  last updated: 1083s  feasible: 1  size: 1084]
[1083s]  		O: move_all_2               -----> [1083s]  Current: [fitness: 4906537  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4920421  last updated: 1083s  feasible: 1  size: 1084]
[1083s]  		O: insert1                  -----> [1083s]  Current: [fitness: 4906537  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 4906537  last updated: 1083s  feasible: 1  size: 1084]
[1083s]  		O: remove1                  -----> [1083s]  Current: [fitness: 4906537  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 4906537  last updated: 1083s  feasible: 1  size: 1084]
[1083s]  		O: two_opt                  -----> [1090s]  Current: [fitness: 4887324  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4906537  last updated: 1083s  feasible: 1  size: 1084]
[1090s]  		O: exchange_ids             -----> [1096s]  Current: [fitness: 4857005  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4887324  last updated: 1090s  feasible: 1  size: 1084]
[1096s]  		O: exchange_1_2             -----> [1108s]  Current: [fitness: 4826842  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4857005  last updated: 1096s  feasible: 1  size: 1084]
[1108s]  		O: exchange_2_2             -----> [1120s]  Current: [fitness: 4799001  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4826842  last updated: 1108s  feasible: 1  size: 1084]
[1120s]  		O: exchange_3_3             -----> [1132s]  Current: [fitness: 4771929  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4799001  last updated: 1120s  feasible: 1  size: 1084]
[1132s]  		O: exchange_3_4             -----> [1143s]  Current: [fitness: 4743364  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4771929  last updated: 1132s  feasible: 1  size: 1084]
[1143s]  		O: exchange_4_4             -----> [1155s]  Current: [fitness: 4717021  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4743364  last updated: 1143s  feasible: 1  size: 1084]
[1155s]  		O: rexchange_2_2            -----> [1167s]  Current: [fitness: 4692072  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4717021  last updated: 1155s  feasible: 1  size: 1084]
[1167s]  		O: rexchange_2_3            -----> [1178s]  Current: [fitness: 4659083  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4692072  last updated: 1167s  feasible: 1  size: 1084]
[1178s]  		O: rexchange_4_4            -----> [1190s]  Current: [fitness: 4631249  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4659083  last updated: 1178s  feasible: 1  size: 1084]
[1190s]  		O: centered_exchange_1      -----> [1190s]  Current: [fitness: 4621037  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4631249  last updated: 1190s  feasible: 1  size: 1084]
[1190s]  		O: relocate_1               -----> [1202s]  Current: [fitness: 4605577  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4621037  last updated: 1190s  feasible: 1  size: 1084]
