Solving vm1084
[0s]  C: constructRandomReplicate -----> [0s]  Current: [fitness: 4294967295  updated: 1  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  MH: ILS                       
[0s]  	LS: cyclicVND                
[131s]  		O: rrelocate_3              -----> [143s]  Current: [fitness: 8032330  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8069543  last updated: 131s  feasible: 1  size: 1084]
[143s]  		O: rrelocate_4              -----> [155s]  Current: [fitness: 7994701  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8032330  last updated: 143s  feasible: 1  size: 1084]
[155s]  		O: move_all_1               -----> [155s]  Current: [fitness: 7973771  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7994701  last updated: 155s  feasible: 1  size: 1084]
[155s]  		O: move_all_2               -----> [155s]  Current: [fitness: 7945592  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7973771  last updated: 155s  feasible: 1  size: 1084]
[155s]  		O: insert1                  -----> [155s]  Current: [fitness: 7945592  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 7945592  last updated: 155s  feasible: 1  size: 1084]
[155s]  		O: remove1                  -----> [155s]  Current: [fitness: 7945592  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 7945592  last updated: 155s  feasible: 1  size: 1084]
[155s]  		O: two_opt                  -----> [162s]  Current: [fitness: 7913416  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7945592  last updated: 155s  feasible: 1  size: 1084]
[162s]  		O: exchange_ids             -----> [168s]  Current: [fitness: 7859542  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7913416  last updated: 162s  feasible: 1  size: 1084]
[168s]  		O: exchange_1_2             -----> [180s]  Current: [fitness: 7809494  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7859542  last updated: 168s  feasible: 1  size: 1084]
[180s]  		O: exchange_2_2             -----> [192s]  Current: [fitness: 7762532  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7809494  last updated: 180s  feasible: 1  size: 1084]
[192s]  		O: exchange_3_3             -----> [204s]  Current: [fitness: 7717886  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7762532  last updated: 192s  feasible: 1  size: 1084]
[204s]  		O: exchange_3_4             -----> [215s]  Current: [fitness: 7670848  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7717886  last updated: 204s  feasible: 1  size: 1084]
[215s]  		O: exchange_4_4             -----> [227s]  Current: [fitness: 7625771  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7670848  last updated: 215s  feasible: 1  size: 1084]
[227s]  		O: rexchange_2_2            -----> [239s]  Current: [fitness: 7581115  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7625771  last updated: 227s  feasible: 1  size: 1084]
[239s]  		O: rexchange_2_3            -----> [251s]  Current: [fitness: 7534146  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7581115  last updated: 239s  feasible: 1  size: 1084]
[251s]  		O: rexchange_4_4            -----> [263s]  Current: [fitness: 7488151  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7534146  last updated: 251s  feasible: 1  size: 1084]
[263s]  		O: centered_exchange_1      -----> [263s]  Current: [fitness: 7469090  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7488151  last updated: 263s  feasible: 1  size: 1084]
[263s]  		O: relocate_1               -----> [274s]  Current: [fitness: 7441289  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7469090  last updated: 263s  feasible: 1  size: 1084]
[274s]  		O: relocate_5               -----> [287s]  Current: [fitness: 7405837  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7441289  last updated: 274s  feasible: 1  size: 1084]
[287s]  		O: rrelocate_3              -----> [299s]  Current: [fitness: 7372326  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7405837  last updated: 287s  feasible: 1  size: 1084]
[299s]  		O: rrelocate_4              -----> [310s]  Current: [fitness: 7337084  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7372326  last updated: 299s  feasible: 1  size: 1084]
[310s]  		O: move_all_1               -----> [311s]  Current: [fitness: 7316900  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7337084  last updated: 310s  feasible: 1  size: 1084]
[311s]  		O: move_all_2               -----> [311s]  Current: [fitness: 7295446  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7316900  last updated: 311s  feasible: 1  size: 1084]
[311s]  		O: insert1                  -----> [311s]  Current: [fitness: 7295446  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 7295446  last updated: 311s  feasible: 1  size: 1084]
[311s]  		O: remove1                  -----> [311s]  Current: [fitness: 7295446  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 7295446  last updated: 311s  feasible: 1  size: 1084]
[311s]  		O: two_opt                  -----> [318s]  Current: [fitness: 7267417  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7295446  last updated: 311s  feasible: 1  size: 1084]
[318s]  		O: exchange_ids             -----> [324s]  Current: [fitness: 7219737  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7267417  last updated: 318s  feasible: 1  size: 1084]
[324s]  		O: exchange_1_2             -----> [336s]  Current: [fitness: 7175112  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7219737  last updated: 324s  feasible: 1  size: 1084]
[336s]  		O: exchange_2_2             -----> [348s]  Current: [fitness: 7131867  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7175112  last updated: 336s  feasible: 1  size: 1084]
[348s]  		O: exchange_3_3             -----> [360s]  Current: [fitness: 7084629  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7131867  last updated: 348s  feasible: 1  size: 1084]
[360s]  		O: exchange_3_4             -----> [372s]  Current: [fitness: 7041011  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7084629  last updated: 360s  feasible: 1  size: 1084]
[372s]  		O: exchange_4_4             -----> [383s]  Current: [fitness: 6998256  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 7041011  last updated: 372s  feasible: 1  size: 1084]
[383s]  		O: rexchange_2_2            -----> [395s]  Current: [fitness: 6955728  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6998256  last updated: 383s  feasible: 1  size: 1084]
[395s]  		O: rexchange_2_3            -----> [407s]  Current: [fitness: 6910899  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6955728  last updated: 395s  feasible: 1  size: 1084]
[407s]  		O: rexchange_4_4            -----> [418s]  Current: [fitness: 6868453  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6910899  last updated: 407s  feasible: 1  size: 1084]
[418s]  		O: centered_exchange_1      -----> [418s]  Current: [fitness: 6850894  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6868453  last updated: 418s  feasible: 1  size: 1084]
[418s]  		O: relocate_1               -----> [430s]  Current: [fitness: 6824820  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6850894  last updated: 418s  feasible: 1  size: 1084]
[430s]  		O: relocate_5               -----> [442s]  Current: [fitness: 6791467  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6824820  last updated: 430s  feasible: 1  size: 1084]
[442s]  		O: rrelocate_3              -----> [454s]  Current: [fitness: 6760158  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6791467  last updated: 442s  feasible: 1  size: 1084]
[454s]  		O: rrelocate_4              -----> [466s]  Current: [fitness: 6727589  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6760158  last updated: 454s  feasible: 1  size: 1084]
[466s]  		O: move_all_1               -----> [466s]  Current: [fitness: 6709740  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6727589  last updated: 466s  feasible: 1  size: 1084]
[466s]  		O: move_all_2               -----> [466s]  Current: [fitness: 6689578  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6709740  last updated: 466s  feasible: 1  size: 1084]
[466s]  		O: insert1                  -----> [466s]  Current: [fitness: 6689578  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6689578  last updated: 466s  feasible: 1  size: 1084]
[466s]  		O: remove1                  -----> [466s]  Current: [fitness: 6689578  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6689578  last updated: 466s  feasible: 1  size: 1084]
[466s]  		O: two_opt                  -----> [473s]  Current: [fitness: 6664293  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6689578  last updated: 466s  feasible: 1  size: 1084]
[473s]  		O: exchange_ids             -----> [480s]  Current: [fitness: 6622469  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6664293  last updated: 473s  feasible: 1  size: 1084]
[480s]  		O: exchange_1_2             -----> [492s]  Current: [fitness: 6579881  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6622469  last updated: 480s  feasible: 1  size: 1084]
[492s]  		O: exchange_2_2             -----> [504s]  Current: [fitness: 6541889  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6579881  last updated: 492s  feasible: 1  size: 1084]
[504s]  		O: exchange_3_3             -----> [516s]  Current: [fitness: 6503733  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6541889  last updated: 504s  feasible: 1  size: 1084]
[516s]  		O: exchange_3_4             -----> [527s]  Current: [fitness: 6461769  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6503733  last updated: 516s  feasible: 1  size: 1084]
[527s]  		O: exchange_4_4             -----> [539s]  Current: [fitness: 6420600  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6461769  last updated: 527s  feasible: 1  size: 1084]
[539s]  		O: rexchange_2_2            -----> [551s]  Current: [fitness: 6383472  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6420600  last updated: 539s  feasible: 1  size: 1084]
[551s]  		O: rexchange_2_3            -----> [563s]  Current: [fitness: 6345112  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6383472  last updated: 551s  feasible: 1  size: 1084]
[563s]  		O: rexchange_4_4            -----> [575s]  Current: [fitness: 6306176  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6345112  last updated: 563s  feasible: 1  size: 1084]
[575s]  		O: centered_exchange_1      -----> [575s]  Current: [fitness: 6289683  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6306176  last updated: 575s  feasible: 1  size: 1084]
[575s]  		O: relocate_1               -----> [586s]  Current: [fitness: 6265030  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6289683  last updated: 575s  feasible: 1  size: 1084]
[586s]  		O: relocate_5               -----> [598s]  Current: [fitness: 6235467  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6265030  last updated: 586s  feasible: 1  size: 1084]
[598s]  		O: rrelocate_3              -----> [610s]  Current: [fitness: 6200778  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6235467  last updated: 598s  feasible: 1  size: 1084]
[610s]  		O: rrelocate_4              -----> [622s]  Current: [fitness: 6170495  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6200778  last updated: 610s  feasible: 1  size: 1084]
[622s]  		O: move_all_1               -----> [622s]  Current: [fitness: 6152977  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6170495  last updated: 622s  feasible: 1  size: 1084]
[622s]  		O: move_all_2               -----> [622s]  Current: [fitness: 6134134  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6152977  last updated: 622s  feasible: 1  size: 1084]
[622s]  		O: insert1                  -----> [622s]  Current: [fitness: 6134134  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6134134  last updated: 622s  feasible: 1  size: 1084]
[622s]  		O: remove1                  -----> [622s]  Current: [fitness: 6134134  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 6134134  last updated: 622s  feasible: 1  size: 1084]
[622s]  		O: two_opt                  -----> [630s]  Current: [fitness: 6111048  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6134134  last updated: 622s  feasible: 1  size: 1084]
[630s]  		O: exchange_ids             -----> [637s]  Current: [fitness: 6073756  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6111048  last updated: 630s  feasible: 1  size: 1084]
[637s]  		O: exchange_1_2             -----> [649s]  Current: [fitness: 6034694  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6073756  last updated: 637s  feasible: 1  size: 1084]
[649s]  		O: exchange_2_2             -----> [661s]  Current: [fitness: 5999610  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 6034694  last updated: 649s  feasible: 1  size: 1084]
[661s]  		O: exchange_3_3             -----> [673s]  Current: [fitness: 5964999  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5999610  last updated: 661s  feasible: 1  size: 1084]
[673s]  		O: exchange_3_4             -----> [685s]  Current: [fitness: 5928349  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5964999  last updated: 673s  feasible: 1  size: 1084]
[685s]  		O: exchange_4_4             -----> [697s]  Current: [fitness: 5892145  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5928349  last updated: 685s  feasible: 1  size: 1084]
[697s]  		O: rexchange_2_2            -----> [708s]  Current: [fitness: 5859940  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5892145  last updated: 697s  feasible: 1  size: 1084]
[708s]  		O: rexchange_2_3            -----> [720s]  Current: [fitness: 5821993  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5859940  last updated: 708s  feasible: 1  size: 1084]
[720s]  		O: rexchange_4_4            -----> [732s]  Current: [fitness: 5788915  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5821993  last updated: 720s  feasible: 1  size: 1084]
[732s]  		O: centered_exchange_1      -----> [732s]  Current: [fitness: 5772859  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5788915  last updated: 732s  feasible: 1  size: 1084]
[732s]  		O: relocate_1               -----> [744s]  Current: [fitness: 5751718  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5772859  last updated: 732s  feasible: 1  size: 1084]
[744s]  		O: relocate_5               -----> [756s]  Current: [fitness: 5724274  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5751718  last updated: 744s  feasible: 1  size: 1084]
[756s]  		O: rrelocate_3              -----> [768s]  Current: [fitness: 5696885  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5724274  last updated: 756s  feasible: 1  size: 1084]
[768s]  		O: rrelocate_4              -----> [780s]  Current: [fitness: 5666796  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5696885  last updated: 768s  feasible: 1  size: 1084]
[780s]  		O: move_all_1               -----> [780s]  Current: [fitness: 5653624  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5666796  last updated: 780s  feasible: 1  size: 1084]
[780s]  		O: move_all_2               -----> [780s]  Current: [fitness: 5637088  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5653624  last updated: 780s  feasible: 1  size: 1084]
[780s]  		O: insert1                  -----> [780s]  Current: [fitness: 5637088  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5637088  last updated: 780s  feasible: 1  size: 1084]
[780s]  		O: remove1                  -----> [780s]  Current: [fitness: 5637088  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5637088  last updated: 780s  feasible: 1  size: 1084]
[780s]  		O: two_opt                  -----> [788s]  Current: [fitness: 5615220  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5637088  last updated: 780s  feasible: 1  size: 1084]
[788s]  		O: exchange_ids             -----> [794s]  Current: [fitness: 5579529  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5615220  last updated: 788s  feasible: 1  size: 1084]
[794s]  		O: exchange_1_2             -----> [806s]  Current: [fitness: 5545540  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5579529  last updated: 794s  feasible: 1  size: 1084]
[806s]  		O: exchange_2_2             -----> [818s]  Current: [fitness: 5511558  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5545540  last updated: 806s  feasible: 1  size: 1084]
[818s]  		O: exchange_3_3             -----> [830s]  Current: [fitness: 5478780  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5511558  last updated: 818s  feasible: 1  size: 1084]
[830s]  		O: exchange_3_4             -----> [842s]  Current: [fitness: 5445286  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5478780  last updated: 830s  feasible: 1  size: 1084]
[842s]  		O: exchange_4_4             -----> [854s]  Current: [fitness: 5410422  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5445286  last updated: 842s  feasible: 1  size: 1084]
[854s]  		O: rexchange_2_2            -----> [866s]  Current: [fitness: 5380300  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5410422  last updated: 854s  feasible: 1  size: 1084]
[866s]  		O: rexchange_2_3            -----> [878s]  Current: [fitness: 5348638  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5380300  last updated: 866s  feasible: 1  size: 1084]
[878s]  		O: rexchange_4_4            -----> [889s]  Current: [fitness: 5318608  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5348638  last updated: 878s  feasible: 1  size: 1084]
[889s]  		O: centered_exchange_1      -----> [889s]  Current: [fitness: 5302687  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5318608  last updated: 889s  feasible: 1  size: 1084]
[889s]  		O: relocate_1               -----> [901s]  Current: [fitness: 5283285  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5302687  last updated: 889s  feasible: 1  size: 1084]
[901s]  		O: relocate_5               -----> [913s]  Current: [fitness: 5258228  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5283285  last updated: 901s  feasible: 1  size: 1084]
[913s]  		O: rrelocate_3              -----> [925s]  Current: [fitness: 5232049  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5258228  last updated: 913s  feasible: 1  size: 1084]
[925s]  		O: rrelocate_4              -----> [937s]  Current: [fitness: 5206138  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5232049  last updated: 925s  feasible: 1  size: 1084]
[937s]  		O: move_all_1               -----> [937s]  Current: [fitness: 5194361  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5206138  last updated: 937s  feasible: 1  size: 1084]
[937s]  		O: move_all_2               -----> [937s]  Current: [fitness: 5178557  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5194361  last updated: 937s  feasible: 1  size: 1084]
[937s]  		O: insert1                  -----> [937s]  Current: [fitness: 5178557  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5178557  last updated: 937s  feasible: 1  size: 1084]
[937s]  		O: remove1                  -----> [937s]  Current: [fitness: 5178557  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 5178557  last updated: 937s  feasible: 1  size: 1084]
[937s]  		O: two_opt                  -----> [944s]  Current: [fitness: 5157915  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5178557  last updated: 937s  feasible: 1  size: 1084]
[944s]  		O: exchange_ids             -----> [951s]  Current: [fitness: 5126722  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5157915  last updated: 944s  feasible: 1  size: 1084]
[951s]  		O: exchange_1_2             -----> [963s]  Current: [fitness: 5094696  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5126722  last updated: 951s  feasible: 1  size: 1084]
[963s]  		O: exchange_2_2             -----> [974s]  Current: [fitness: 5065584  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5094696  last updated: 963s  feasible: 1  size: 1084]
[974s]  		O: exchange_3_3             -----> [986s]  Current: [fitness: 5038019  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5065584  last updated: 974s  feasible: 1  size: 1084]
[986s]  		O: exchange_3_4             -----> [998s]  Current: [fitness: 5007822  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5038019  last updated: 986s  feasible: 1  size: 1084]
[998s]  		O: exchange_4_4             -----> [1009s]  Current: [fitness: 4979731  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 5007822  last updated: 998s  feasible: 1  size: 1084]
[1009s]  		O: rexchange_2_2            -----> [1021s]  Current: [fitness: 4950232  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4979731  last updated: 1009s  feasible: 1  size: 1084]
[1021s]  		O: rexchange_2_3            -----> [1033s]  Current: [fitness: 4919839  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4950232  last updated: 1021s  feasible: 1  size: 1084]
[1033s]  		O: rexchange_4_4            -----> [1045s]  Current: [fitness: 4891937  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4919839  last updated: 1033s  feasible: 1  size: 1084]
[1045s]  		O: centered_exchange_1      -----> [1045s]  Current: [fitness: 4877555  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4891937  last updated: 1045s  feasible: 1  size: 1084]
[1045s]  		O: relocate_1               -----> [1056s]  Current: [fitness: 4859003  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4877555  last updated: 1045s  feasible: 1  size: 1084]
[1056s]  		O: relocate_5               -----> [1069s]  Current: [fitness: 4835069  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4859003  last updated: 1056s  feasible: 1  size: 1084]
[1069s]  		O: rrelocate_3              -----> [1080s]  Current: [fitness: 4811184  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4835069  last updated: 1069s  feasible: 1  size: 1084]
[1080s]  		O: rrelocate_4              -----> [1092s]  Current: [fitness: 4787149  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4811184  last updated: 1080s  feasible: 1  size: 1084]
[1092s]  		O: move_all_1               -----> [1092s]  Current: [fitness: 4777152  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4787149  last updated: 1092s  feasible: 1  size: 1084]
[1092s]  		O: move_all_2               -----> [1092s]  Current: [fitness: 4764487  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4777152  last updated: 1092s  feasible: 1  size: 1084]
[1092s]  		O: insert1                  -----> [1092s]  Current: [fitness: 4764487  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 4764487  last updated: 1092s  feasible: 1  size: 1084]
[1092s]  		O: remove1                  -----> [1092s]  Current: [fitness: 4764487  updated: 0  feasible: 1  size: 1084]    BKS: [fitness: 4764487  last updated: 1092s  feasible: 1  size: 1084]
[1092s]  		O: two_opt                  -----> [1100s]  Current: [fitness: 4744474  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4764487  last updated: 1092s  feasible: 1  size: 1084]
[1100s]  		O: exchange_ids             -----> [1107s]  Current: [fitness: 4717667  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4744474  last updated: 1100s  feasible: 1  size: 1084]
[1107s]  		O: exchange_1_2             -----> [1118s]  Current: [fitness: 4686155  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4717667  last updated: 1107s  feasible: 1  size: 1084]
[1118s]  		O: exchange_2_2             -----> [1130s]  Current: [fitness: 4657252  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4686155  last updated: 1118s  feasible: 1  size: 1084]
[1130s]  		O: exchange_3_3             -----> [1142s]  Current: [fitness: 4633306  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4657252  last updated: 1130s  feasible: 1  size: 1084]
[1142s]  		O: exchange_3_4             -----> [1153s]  Current: [fitness: 4604395  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4633306  last updated: 1142s  feasible: 1  size: 1084]
[1153s]  		O: exchange_4_4             -----> [1165s]  Current: [fitness: 4578369  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4604395  last updated: 1153s  feasible: 1  size: 1084]
[1165s]  		O: rexchange_2_2            -----> [1177s]  Current: [fitness: 4551349  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4578369  last updated: 1165s  feasible: 1  size: 1084]
[1177s]  		O: rexchange_2_3            -----> [1188s]  Current: [fitness: 4522155  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4551349  last updated: 1177s  feasible: 1  size: 1084]
[1188s]  		O: rexchange_4_4            -----> [1200s]  Current: [fitness: 4497146  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4522155  last updated: 1188s  feasible: 1  size: 1084]
[1200s]  		O: centered_exchange_1      -----> [1200s]  Current: [fitness: 4485125  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4497146  last updated: 1200s  feasible: 1  size: 1084]
[1200s]  		O: relocate_1               -----> [1211s]  Current: [fitness: 4467072  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4485125  last updated: 1200s  feasible: 1  size: 1084]
